image_filename,label,cx,cy,bw,bh
realcolon_003-001_0.jpg,,,,,
realcolon_003-001_10.jpg,,,,,
realcolon_003-001_10001.jpg,,,,,
realcolon_003-001_10002.jpg,,,,,
realcolon_003-001_10003.jpg,,,,,
realcolon_003-001_10007.jpg,,,,,
realcolon_003-001_10008.jpg,,,,,
realcolon_003-001_10009.jpg,,,,,
realcolon_003-001_10010.jpg,,,,,
realcolon_003-001_10011.jpg,,,,,
realcolon_003-001_10013.jpg,,,,,
realcolon_003-001_10017.jpg,,,,,
realcolon_003-001_10019.jpg,,,,,
realcolon_003-001_1002.jpg,,,,,
realcolon_003-001_10026.jpg,,,,,
realcolon_003-001_10028.jpg,,,,,
realcolon_003-001_1003.jpg,,,,,
realcolon_003-001_10031.jpg,,,,,
realcolon_003-001_10032.jpg,,,,,
realcolon_003-001_10033.jpg,,,,,
realcolon_003-001_10035.jpg,,,,,
realcolon_003-001_10036.jpg,,,,,
realcolon_003-001_10039.jpg,,,,,
realcolon_003-001_10042.jpg,,,,,
realcolon_003-001_10044.jpg,,,,,
realcolon_003-001_10045.jpg,,,,,
realcolon_003-001_10050.jpg,,,,,
realcolon_003-001_10052.jpg,,,,,
realcolon_003-001_10053.jpg,,,,,
realcolon_003-001_10055.jpg,,,,,
realcolon_003-001_10056.jpg,,,,,
realcolon_003-001_10061.jpg,,,,,
realcolon_003-001_10062.jpg,,,,,
realcolon_003-001_10063.jpg,,,,,
realcolon_003-001_10065.jpg,,,,,
realcolon_003-001_10067.jpg,,,,,
realcolon_003-001_1007.jpg,,,,,
realcolon_003-001_10071.jpg,,,,,
realcolon_003-001_10073.jpg,,,,,
realcolon_003-001_10076.jpg,,,,,
realcolon_003-001_10078.jpg,,,,,
realcolon_003-001_1008.jpg,,,,,
realcolon_003-001_10082.jpg,,,,,
realcolon_003-001_10085.jpg,,,,,
realcolon_003-001_10087.jpg,,,,,
realcolon_003-001_10088.jpg,,,,,
realcolon_003-001_10089.jpg,,,,,
realcolon_003-001_10091.jpg,,,,,
realcolon_003-001_10092.jpg,,,,,
realcolon_003-001_10095.jpg,,,,,
realcolon_003-001_10096.jpg,,,,,
realcolon_003-001_10098.jpg,,,,,
realcolon_003-001_10101.jpg,,,,,
realcolon_003-001_10102.jpg,,,,,
realcolon_003-001_10103.jpg,,,,,
realcolon_003-001_10111.jpg,,,,,
realcolon_003-001_10112.jpg,,,,,
realcolon_003-001_10113.jpg,,,,,
realcolon_003-001_10116.jpg,,,,,
realcolon_003-001_10118.jpg,,,,,
realcolon_003-001_10119.jpg,,,,,
realcolon_003-001_1012.jpg,,,,,
realcolon_003-001_10121.jpg,,,,,
realcolon_003-001_10122.jpg,,,,,
realcolon_003-001_10123.jpg,,,,,
realcolon_003-001_10125.jpg,,,,,
realcolon_003-001_10127.jpg,,,,,
realcolon_003-001_1013.jpg,,,,,
realcolon_003-001_10130.jpg,,,,,
realcolon_003-001_10131.jpg,,,,,
realcolon_003-001_10132.jpg,,,,,
realcolon_003-001_10136.jpg,,,,,
realcolon_003-001_10143.jpg,,,,,
realcolon_003-001_10145.jpg,,,,,
realcolon_003-001_10147.jpg,,,,,
realcolon_003-001_10149.jpg,,,,,
realcolon_003-001_10151.jpg,,,,,
realcolon_003-001_10152.jpg,,,,,
realcolon_003-001_10154.jpg,,,,,
realcolon_003-001_10157.jpg,,,,,
realcolon_003-001_10158.jpg,,,,,
realcolon_003-001_1016.jpg,,,,,
realcolon_003-001_10161.jpg,,,,,
realcolon_003-001_10162.jpg,,,,,
realcolon_003-001_10166.jpg,,,,,
realcolon_003-001_10168.jpg,,,,,
realcolon_003-001_1017.jpg,,,,,
realcolon_003-001_10172.jpg,,,,,
realcolon_003-001_10173.jpg,,,,,
realcolon_003-001_10175.jpg,,,,,
realcolon_003-001_10178.jpg,,,,,
realcolon_003-001_1018.jpg,,,,,
realcolon_003-001_10180.jpg,,,,,
realcolon_003-001_10183.jpg,,,,,
realcolon_003-001_10188.jpg,,,,,
realcolon_003-001_10189.jpg,,,,,
realcolon_003-001_10190.jpg,,,,,
realcolon_003-001_10191.jpg,,,,,
realcolon_003-001_10193.jpg,,,,,
realcolon_003-001_10194.jpg,,,,,
realcolon_003-001_10195.jpg,,,,,
realcolon_003-001_10197.jpg,,,,,
realcolon_003-001_10199.jpg,,,,,
realcolon_003-001_1020.jpg,,,,,
realcolon_003-001_10200.jpg,,,,,
realcolon_003-001_10201.jpg,,,,,
realcolon_003-001_10203.jpg,,,,,
realcolon_003-001_10206.jpg,,,,,
realcolon_003-001_10207.jpg,,,,,
realcolon_003-001_10208.jpg,,,,,
realcolon_003-001_1021.jpg,,,,,
realcolon_003-001_10211.jpg,,,,,
realcolon_003-001_10213.jpg,,,,,
realcolon_003-001_10217.jpg,,,,,
realcolon_003-001_10218.jpg,,,,,
realcolon_003-001_10219.jpg,,,,,
realcolon_003-001_10221.jpg,,,,,
realcolon_003-001_10222.jpg,,,,,
realcolon_003-001_10223.jpg,,,,,
realcolon_003-001_10226.jpg,,,,,
realcolon_003-001_10228.jpg,,,,,
